1600352648972;0;0;0;0.5;-0.5;0.5
1600352649015;4.42065e-05;-0.00621739;-0.00386134;0.497013;-0.498487;0.504418
1600352649035;7.35668e-06;-0.00278878;-0.00161119;0.492176;-0.496679;0.50956
1600352649070;-7.36381e-05;-0.00268201;-0.001485;0.491745;-0.497044;0.5073
1600352649104;-0.000490385;-0.00828926;-0.00489573;0.501707;-0.494357;0.503144
1600352649131;-0.000909633;-0.00782272;-0.00520796;0.513118;-0.489217;0.50112
1600352649165;-0.000539165;-0.00383176;-0.00257756;0.510357;-0.489395;0.499323
1600352649196;-0.000174076;-0.00161938;-0.000996523;0.501867;-0.491273;0.499305
1600352649228;-0.000844999;-0.00909595;-0.00516355;0.502944;-0.490362;0.500101
1600352649259;-0.00075233;-0.00725082;-0.00453644;0.510645;-0.491212;0.49831
1600352649291;-0.000617007;-0.0052542;-0.00363948;0.514237;-0.490709;0.498107
1600352649323;-0.000185439;-0.00191579;-0.00137209;0.513223;-0.487593;0.502628
1600352649355;0;1.68;0;-0.17786;-0.759036;-0.0407178
1600352649386;0;1.68;0;-0.190224;-0.767967;-0.0206273
1600352649434;0.340589;1.40059;-0.829569;0.117604;0.973389;-0.121567
1600352649466;0.337725;1.3995;-0.831084;0.132744;0.976381;-0.107353
1600352649498;0.335795;1.40144;-0.831374;0.135337;0.978976;-0.085876
1600352649532;0.33386;1.40627;-0.83172;0.130588;0.978925;-0.0874793
1600352649564;0.331496;1.41163;-0.832106;0.143433;0.975302;-0.105468
1600352649595;0.330453;1.41551;-0.831884;0.14641;0.973369;-0.11578
1600352649629;0.331322;1.41952;-0.833576;0.143474;0.972557;-0.11459
1600352649661;0.332669;1.4268;-0.833959;0.149186;0.967517;-0.128437
1600352649691;0.333253;1.43025;-0.834215;0.132159;0.960205;-0.169034
1600352649722;0.329696;1.42558;-0.833737;0.113816;0.962567;-0.171368
1600352649754;0.328081;1.42273;-0.832026;0.132664;0.971051;-0.130195
1600352649786;0.333949;1.42391;-0.830037;0.140951;0.97396;-0.115473
